"Gene","logFC_14","adj.P.Val_14"
"ESR1",-2.81381565656565,1.58103729632078e-116
"CCT3",1.56962131313133,5.62947109541211e-112
"RRM2",3.10640363636365,3.30139697501918e-105
"HAMP",-5.44558383838382,3.82299225079211e-101
"EGR1",-2.76352050505049,4.07704642358925e-100
"CDK1",2.47391909090911,1.46250294704327e-96
"CNIH4",1.99863272727274,3.27356195374788e-96
"GSTZ1",-2.44125414141413,3.82244109730453e-96
"AURKA",2.27459212121215,1.6648772686135e-93
"PER1",-1.82852636363634,7.01379315943097e-90
"PARP1",1.12904434343436,1.84143009693572e-89
"FEN1",1.78480545454547,6.10896365031228e-88
"MT1G",-3.48485707070706,3.48601983107237e-86
"GLS2",-3.42603555555554,1.35202940588022e-81
"ASS1",-1.94067747474744,3.00924366889451e-81
"SQLE",2.89224363636366,4.58006168457101e-81
"KIF20A",1.69673202020204,3.78030625075794e-80
"ACSL4",3.29853484848487,1.68432107571291e-79
"STEAP3",-1.95409232323229,2.03679007284671e-79
"EZH2",1.76926484848486,2.39415400375151e-78
"GMFB",1.28811313131315,4.15903558025453e-78
"MELK",1.69013010101012,8.66357003709993e-77
"HSPB1",1.49839454545458,2.50888206998709e-75
"ANXA10",-2.48629686868685,4.72046710867926e-75
"HSPA4",1.13419656565659,1.71901160687656e-74
"AKR1C3",1.7769156565657,5.06578143866576e-73
"RRM1",1.24470545454549,3.50618490016602e-70
"STMN1",1.24530282828284,3.11299978795013e-69
"MAPK9",1.27711717171719,6.6262292243968e-69
"MAPK1",1.1144278787879,8.11783153607228e-69
"ZFP36",-1.47144818181816,6.13767153277829e-68
"ALDH2",-1.4977336363636,9.10203628434182e-68
"MAT1A",-1.85183454545451,9.77927583995782e-68
"AR",-1.18629323232322,2.97357338857281e-67
"FOXM1",1.18193777777779,5.90649701077189e-67
"GCH1",-1.64985989898986,1.41836722935825e-66
"SLC27A5",-2.61689474747472,4.43885074987987e-66
"HMGB2",1.75210595959599,3.09579481526427e-65
"CXCL2",-2.71386444444442,2.09717223570739e-64
"GABARAPL1",-1.40860868686866,2.49667383158992e-64
"NPC1",1.27409020202023,5.15320033178284e-63
"TXNRD1",1.73489474747478,1.01056842876495e-61
"HMGCL",-1.27633303030301,1.54976756096013e-61
"ACTL6A",1.31175535353537,2.95752053974474e-60
"NRAS",1.37672000000002,5.38231610432991e-59
"HDAC6",-1.23370424242423,1.91852652387051e-58
"POLE2",1.25984353535356,1.93183570062515e-58
"HSPA14",1.06536080808082,2.12475301480304e-58
"PDGFRA",-2.63865050505049,2.59989946544888e-58
"HJURP",1.07038111111112,4.38373746328151e-58
"CENPA",1.20956797979799,1.61235852820891e-56
"DUSP1",-1.87201919191917,2.65895795088082e-56
"SLC1A4",1.21542626262628,3.41779070074422e-56
"HBA1",-2.10291151515149,9.055367420389e-56
"ENO3",-2.1617418181818,1.41562013660239e-54
"TFRC",1.47038555555558,1.80353043350801e-54
"BGN",-1.56689858585857,2.84293443683689e-54
"NEDD4L",1.17501222222223,5.06531884769242e-52
"HSPA13",1.07886313131315,8.57392536298782e-51
"MPC1",-1.04319343434343,8.80962633928439e-51
"RBM3",1.17515535353537,2.62859166138298e-50
"E2F3",1.07750070707073,2.93242626744901e-50
"ACSL1",-1.90031979797977,4.54240730239293e-50
"IRF8",-1.00704878787877,8.684692510908e-50
"PNO1",1.0308477777778,3.2453263539245e-49
"PCK2",-1.52152828282827,1.33100531791383e-48
"ACADSB",-1.4679223232323,1.53500588484281e-48
"SATB1",-1.48942878787876,2.02901478782812e-46
"SOCS2",-1.88662656565654,1.15293060230498e-45
"HPX",-1.75285939393937,1.22131993437094e-45
"NNMT",-2.70737787878786,2.08134447633083e-45
"EMC2",1.00836505050508,3.1239957866246e-45
"PHGDH",-1.2803807070707,7.36126743828198e-45
"FADS1",1.91282717171719,1.12509845147383e-44
"ACACA",1.0274570707071,4.03017850814002e-44
"HSPH1",1.03579505050506,1.36935786621333e-43
"HELLS",1.05391313131315,1.6369940179439e-43
"ZC3H13",-1.16097454545453,1.66239082264881e-43
"PARP12",1.02379919191921,1.80282693407408e-43
"CBS",-1.58238090909088,1.95991389736115e-43
"CDKN2A",1.22612020202022,4.25011383390144e-43
"IGF2BP3",1.91363383838385,2.13732632840277e-42
"ASL",-1.2960728282828,3.3591878948533e-42
"CYP2E1",-3.12511212121208,1.50431172904403e-41
"NR4A1",-1.09522191919191,3.72729745175002e-41
"SQSTM1",1.00817616161619,4.89940191905135e-41
"SCP2",-1.00947595959592,1.20473068670038e-40
"ALB",-1.76154808080806,1.72368371708329e-40
"SLC38A2",-1.09293373737371,5.47834523481885e-40
"IGF2BP2",1.68349272727275,3.94146315921905e-38
"TSC22D3",-1.33660202020199,3.49033123223226e-37
"ACSL3",1.10050969696971,4.42797289250757e-37
"MTTP",-1.59209898989897,6.55490644767699e-37
"DHODH",-1.04706929292929,1.78711240346418e-36
"CAPG",1.07737434343436,2.62585970978564e-35
"PIR",1.30946101010103,6.22512242312615e-35
"NDRG1",1.26533292929295,1.98694337151428e-34
"PKM",1.42223494949497,2.58124028801239e-34
"G6PD",1.16244090909093,5.73844196688739e-33
"NT5DC2",1.07036818181819,1.2680092552472e-32
"HLF",-1.55447454545454,1.70857956757748e-32
"RAB26",-1.22744727272726,4.52942253060632e-32
"GJA1",1.17429282828284,6.25452368981022e-31
"AQP3",-1.12870898989897,7.29801880520323e-31
"MMD",1.08771626262629,7.59662914114613e-30
"ANO1",-1.60512010101009,2.06058919169742e-29
"TF",-1.25238111111109,3.24989452856084e-29
"TRIM16",1.37462050505051,5.4071645698332e-29
"ASNS",1.30792343434345,2.05835585724987e-28
"GLS",1.11833272727274,3.41360554572753e-28
"NEAT1",-1.28129656565655,1.49837246765796e-27
"PDK4",-1.41034191919191,5.12532469841472e-27
"NQO1",2.17099525252527,6.78857055116526e-27
"ANGPTL4",-1.235652020202,1.35568613806391e-26
"SLC47A1",-1.14577868686866,2.47272854532247e-26
"ENPP2",1.50455969696973,4.88710281598993e-26
"PPARGC1A",-1.23365151515149,1.90545520184524e-25
"TFR2",-1.27427727272724,9.9082749189915e-25
"TXNIP",-1.04287707070703,5.72230253014089e-23
"LCN2",1.55115232323234,1.62343149072588e-21
"DKK1",1.78822020202022,4.73913834595204e-21
"ZEB1",-1.11040848484846,2.29493294351173e-19
"CDO1",-1.1452338383838,8.12006793558418e-19
"ENO1",1.08420282828284,8.60853273915279e-18
"ME1",1.01413404040406,1.12994479106584e-16
